2路 火车站-展览馆-新路口-河滨公园-次南门-大西门-紫林庵-客车站-枣山路-黔灵公园-瑞北路口-博物馆-六广门-云岩广场-喷水池-大十字-邮电大楼-新路口-展览馆-火车站:{6:00-23:00}
K2路 0八三厂-万江机电-肉联厂-温泉路口-新添寨-贵工分校-茶店-大营坡-贵州日报社-师大-喷水池:{6:30-18:30}
3路↑ 师大-喷水池-紫林庵-客车站-头桥-转弯塘-二桥-公交三公司-三桥-三桥水果市场-后坝-枫丹白鹭花园-贵黄交警支队-工学院:{6:30-23:00}
3路↓ 工学院-贵黄交警支队-枫丹白鹭花园-后坝-三桥水果市场-三桥-公交-二桥三公司-转弯塘-头桥-客车站-紫林庵-喷水池-师大:{6:30-23:00}
K3路 贵阳普天-轮胎厂-金关钢材市场-天然居花园-省地勘院-三桥-二桥-头桥-客车站-喷水池:{6:30-18:30}
夜3路 大兴星城-中兴世家-中兴世家会所-中兴华阳花园-浦江广场-盘江南路-二十五中-盘江路-珠江路-长江路-长江中路-新村-三五厂生活区-四方河-药用植物园-中药研究所-三五三五厂-总后八医院-电视机厂-润丰彩印厂-农机公司-沙冲路口-展览馆-新路口-河滨公园-次南门-大西门-大十字-喷水池:{夏22:00-01:00 冬21:00-00:00}
4路↑ 宅吉小区-宅吉后花园-省老干中心-盐务街-盐务街口-贵医-贵州日报社-相宝山-师大-省公安厅-省医-中山东路-大十字-大西门-次南门-河滨公园-新路口-箭道街路口-纪念塔-陈家坡-南厂路-军区一招-军区二招-武岳新村-军区干休所:{6:30-22:00}
4路↓ 军区干休所-武岳新村-军区二招-军区一招-南厂路-陈家坡-纪念塔-箭道街路口-新路口-河滨公园-次南门-大西门-大十字-小十字-中山东路-省医-省公安厅-师大-相宝山-贵州日报社-贵医-盐务街-省老干中心-宅吉小区:{6:30-22:00}
夜4路 喷水池(延安东路)-师大-贵州日报社-大营路-大营坡-省二医-计质检-所-茶店-中天花园路口-贵工分校-航天大道路口-顺海-新添寨-温泉路口-117地质队-肉联厂-万江机电-乌当广场-○八三厂:{夏时制22:00—次日凌晨1:00、冬时制22:00—24:00}
5路↑ 贵州水泥厂-甘荫塘(海光皮鞋厂)-三医-通银配件城-电建一公司-机动车交易市场-凤凰翠堤-太慈桥-新发装饰市场-湘雅村-花果园-星云家电城-次南门-大西门-大十字-小十字-中山东路-省医-蟠桃宫-宝山南路-团坡桥-油榨街-锦绣家园:{甘荫塘-锦绣家园 06:30-23:00}
5路↓ 锦绣家园-油榨街-团坡桥-宝山南路-蟠桃宫-省医-中山东路-大十字-大西门-星云家电城-花果园-湘雅村-新发装饰市场-太慈桥-凤凰翠堤-机动车交易市场-电建一公司-通银配件城-三医-甘荫塘:{6:30-23:00}
夜5路↑ 甘荫塘(海光皮鞋厂)-电建一公司-太慈桥-新发装饰市场-湘雅村-花果园-星云家电城-次南门-大西门-大十字(时代广场)-喷水池:{夏22:00-01:00 冬22:00-00:00}
夜5路↓ 喷水池-大十字(时代广场)-大西门-星云家电城-花果园-湘雅村-新发装饰市场-太慈桥-电建一公司-甘荫塘(海光皮鞋厂):{夏22:00-01:00 冬22:00-00:00}
6路↑ 贵州水泥厂-甘荫塘-三医-通银配件城-电建一公司-机动车交易市场-凤凰翠提-太慈桥-新发装饰市场-湘雅村-花果园-市交警支队-大昌隆-展览馆-新路口-箭道街路口-纪念塔-大南门-富水南路-小十字-中山东路-省医-阳明祠-东山公园:{甘荫塘-东山公园 06:30-23:00}
6路↓ 东山公园-东山路-阳明祠-省医-中山东路-小十字-富水南路-大南门-纪念塔-箭道街路口-新路口-展览馆-体育馆-市交警支队-花果园-湘雅村-新发装饰市场-太慈桥-凤凰翠提-机动车交易市场-电建一公司-通银配件城-三医-甘荫塘:{6:30-23:00}
夜6路 钻石广场-大十字-喷水池-紫林庵-客车站-头桥-转弯塘-二桥-公交三公司-三桥-车管所-省地勘院-金关钢材市场-轮胎厂:{夏22:00-次日凌晨1:00 冬制22:00-00:00}
7↑ 世纪园小区-丽景阳天-小石城-春雷水库-沙河花园-鹿冲关路-大营坡-贵开路-贵医-盐务街口-六广门-云岩广场-喷水池-紫林庵-大西门-星云家电城-花果园-湘雅村-新发装饰市场-太慈桥-凤凰翠提-机动车交易市场-电建一公司-通银配件城-三医-甘荫塘 :{6:30-23:00}
7↓ 贵阳水泥厂-甘荫塘-三医-通银配件城-电建一公司-机动车交易市场-凤凰翠提-太慈桥-新发装饰市场-湘雅村-花果园-星云家电城-大西门-紫林庵-喷水池-云岩广场-六广门-盐务街口-贵医-贵开路-大营坡-鹿冲关路-春雷水库-小石城-丽景阳天-世纪园小区 :{世纪园小区-甘荫塘06:30-23:00}
8↑ 油榨街-红拖-蓑草路口-陈家坡-纪念塔-钻石广场-大十字-喷水池-云岩广场-六广门-六中-市北路-省老干中心-宅吉小区 :{6:30-23:00}
8↓ 宅吉小区-宅吉后花园-省老干中心-盐务街-六广门-云岩广场-喷水池-大十字-钻石广场-纪念塔-陈家坡-蓑草路口-红拖-油榨街 :{6:30-23:00}
9↑ 兴隆花园-锦江路口-淮河路口-香江花园-香江酒店-新村-三五厂生活区-四方河-药用植物园-中药研究所-三五三五厂-总后八医院-电视机厂-润丰彩印厂-火车站批发市场-沙冲路口-空招-陈家坡-纪念塔-钻石广场-大十字-喷水池-师大-相宝山-贵州日报社-贵开路-大营坡-鹿冲关路 :{6:30-23:00}
9↓ 鹿冲关路-大营坡-贵开路-贵州日报社-相宝山-师大-喷水池-大十字-钻石广场-纪念塔-陈家坡-空招-沙冲路口-火车站批发市场-润丰彩印厂-电视机厂-总后八医院-三五三五厂-中药研究所-药用植物园-四方河-三五厂生活区-香江酒店-香江花园-淮河路口-锦江路口-兴隆花园 :{6:30-23:00}
10↑ 富源北路-锦绣家园-油榨街-团坡桥-宝山南路-蟠桃宫-省医-省公安厅-师大-相宝山-贵州日报社-贵医-盐务街口-交际处-博物馆-瑞北路口-黔灵公园-枣山路-浣沙桥-经干院-花香村-市交警支队-大昌隆-空招-陈家坡-蓑草路口-红拖-油榨街-锦绣家园-富源北路 :{6:30-23:00}
10↓ 富源北路-锦绣家园-油榨街-红拖-蓑草路口-陈家坡-空招-大昌隆-市交警支队-花香村-经干院-浣沙桥-枣山路-黔灵公园-瑞北路口-博物馆-交际处-盐务街口-贵医-贵州日报社-相宝山-师大-省公安厅-省医-蟠桃宫-宝山南路-团坡桥-油榨街-锦绣家园-富源北路 :{6:30-23:00}
11↑ 兴隆珠江湾畔-珠江路-长江路口-长江路-长江中路-新村-三五厂生活区-四方河-药用植物园-中药研究所-三五三五厂-总后八医院-电视机厂-润丰彩印厂-火车站批发市场-沙冲路口-兴关路-箭道街路口-新路口-河滨公园-次南门-大西门-公园路-喷水池-师大-旭东路口-阳明祠 :{6:30-23:00}
11↓ 阳明祠-旭东路口-师大-喷水池-公园路-大西门-次南门-河滨公园-新路口-箭道街路口-兴关路口-兴关路-沙冲路口-火车站批发市场-润丰彩印厂-电视机厂-总后八医院-三五三五厂-中药研究所-药用植物园-四方河-三五厂生活区-长江中路-长江路-长江路口-珠江路-兴隆珠江湾畔 :{6:30-23:00}
12路 富源北路-锦绣家园-油榨街-红拖-蓑草路口-陈家坡-空招-沙冲路口-体育馆-市交警支队-花香村-经干院-浣沙桥-枣山路-黔灵公园-瑞北路口-博物馆-盐务街口-贵医-贵州日报社-相宝山-师大-省公安厅-省医-蟠桃宫-宝山南路-团坡桥-油榨街-锦绣家园-富源北路:{6:30-23:00}
12路副↑ 富源北路-药材仓库-贵州日报仓库-市物资回收公司-东站-军区油库-嘉润中路-养征所-嘉润路口-耙耙街:{}
12路副↓ 耙耙街-陈家坡-嘉润路口-养征所-嘉润中路-军区油库-东站-市物资回收公司-贵州日报仓库-药材仓库-富源北路:{}
13↑ 中兴世家-中兴世家会所-中兴华阳花园-浦江广场-盘江南路-二十五中-盘江路-珠江路-长江路-长江中路-新村-三五厂生活区-四方河-药用植物园-中药研究所-三五三五厂-总后八医院-电视机厂-润丰彩印厂-农机公司-沙冲路口-体育馆-市交警支队-花香村-经干院-浣沙桥-枣山路-黔灵公园-瑞北路口 :{6:30-22:00}
13↓ 瑞北路口-威清路口-威清路-枣山路-浣沙桥-经干院-花香村-市交警支队-大昌隆-沙冲路口-农机公司-润丰彩印厂-电视机厂-总后八医院-三五三五厂-中药研究所-药用植物园-四方河-三五厂生活区-新村-长江中路-长江路-珠江路-盘江路-二十五中-盘江南路-浦江广场-中兴华阳花园-中兴世家会所-中兴世家 :{6:30-22:00}
14↑ 月亮教师新村-月亮岩路-蟠桃宫-万东桥-护国路口-都司路口-市一医-公园南路-市府路口-大西门-紫林庵-威清路口-瑞北路口-博物馆-六中-市北路-省老干中心-宅吉小区 :{6:30-22:30}
14↓ 宅吉小区-宅吉后花园-省老干中心-盐务街-博物馆-瑞北路口-威清路口-紫林庵-大西门-市府路口-市一医-护国路口-万东桥-蟠桃宫-月亮岩路-月亮教师新村 :{6:30-22:30}
15↑ 南馨苑-黔灵村-小关花卉市场-扁井-省政府后门-市北路-博物馆-瑞北路口-威清路口-紫林庵-大西门-次南门-河滨公园-新路口-邮电大楼-甲秀楼-省委-观水路-观水路口-水口寺-水口寺大桥-红岩路-红岩桥 :{6:30-22:30}
15↓ 红岩桥-红岩路-水口寺大桥-水口寺-观水路口-观水路-省委-甲秀楼-邮电大楼-新路口-河滨公园-次南门-大西门-紫林庵-威清路口-瑞北路口-博物馆-六中-市北路-扁井-小关花卉市场-黔灵村-南馨苑 :{6:30-22:30}
16↑ 油榨街-红拖-市南路口-市南路-纪念塔-箭道街路口-新路口-河滨公园-次南门-大西门-紫林庵-威清路口-瑞北路口-黔灵公园 :{6:30-22:00}
16↓ 黔灵公园-瑞北路口-威清路口-紫林庵-大西门-次南门-河滨公园-新路口-箭道街路口-纪念塔-市南路-市南路口-红拖-油榨街 :{6:30-22:00}
17↑ 火车站-展览馆-新路口-河滨公园-次南门-市一医-大十字-喷水池-师大-相宝山-贵州日报社-贵开路-大营坡-化工路口-省二医-计质检所-茶店-中天花园路口-中天花园 :{6:30-23:00}
