1路 淮西客运站-市中级法院-公交修造厂-段南新村-段庄-矿务局-工人(口腔)医院-市二院-古彭大厦-供销/华联大厦-万虹桥文化宫-火车东站:{5:45-00:30}
1路附 新一佳淮西店-段庄-段南新村-徐医附院西院-公交修造厂-市中级法院-淮西客运站-三环西路环岛-杏山工业园-开元四季花园:{6:20-17:30}
游1路↑ 矿大南湖校区-泉山公园-泉山法院-双山-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-戏马台-市政府-中山堂-民主路小学-爱牙医院(市三院)-堤北-化机厂-电力医院-轻工路口-王场新村:{6:15-19:00}
游1路↓ 王场新村-王场新村东门-二环北路-堤北市场-堤北-爱牙医院(市三院)-民主路小学-中山堂-市政府-戏马台-和平路-市四院-纪念塔-奎园西门-侯山窝-矿业大学-风华园-双山-泉山法院-泉山公园-矿大南湖校区:{6:15-19:00}
2路 火车东站-天桥-铁路分局-南郊宾馆-师大北门-中医院-中山饭店-市交通银行-九州大厦-市一院-金地商都-北路口-火车西站-坝子街-市三院-烟厂-火车东站:{5:50-20:00}
游2路 建筑学院-师大新校-文沃市场-风华南苑-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-南郊宾馆-袁桥(民主路)-开明市场-民主南路-文化宫-第三中学-延平路-牌楼-夹河街东口-第一中学-夹河街西口-欧洲商城-工商局-电视塔-云龙公园西门-体育场西门-云龙山隧道-滨湖公园东门-汉画像石馆-云龙山索道-金山公园-金泰小区-市财校-营房西门-营房东门-孟庄公寓-泰山汇景花园-大学城-矿业大学-翟山-翟山市场-铜山中学-师大新校-建筑学院:{6:00-19:00}
3路 火车东站-四道街-地下道-二七宿舍-白云山-下淀-二九宿舍-木材市场-家电市场-杨庄-二十四中-基桩公司-下淀乡政府-省经贸学校-石桥:{5:40-21:35}
3路附 火车东站-四道街-地下道-二七宿舍-白云山-下淀-二九宿舍-木材市场-家电市场-杨庄-二十四中-基桩公司-鼓楼法院-金山桥大厦-教育集团-桃园小区:{5:40-21:35}
4↑ 新一佳(淮西店)-市六院-公交修造厂-淮西客运站-矿山医院-卧牛-马山头-北望-新河路口-新河矿 :{6:30-19:20}
4↓ 新河矿-新河路口-北望-马山头-卧牛-矿山医院-淮西客运站-公交修造厂-市六院-新一佳(淮西店) :{6:30-19:20}
5↑ 文化宫-青年路口-宣武市场-宣武市场南门-和平桥-铁路分局-徐医附三院-骆驼山桥-锻压设备厂-楚王陵-机场路口-汽配城-天龙市场-良茂市场-会展中心-矿大成教院-韩世集团-食品城 :{6:05-18:00}
5↓ 食品城-韩世集团-矿大成教院-会展中心-良茂市场-天龙市场-汽配城-机场路口-楚王陵-锻压设备厂-骆驼山桥-徐医附三院-铁路分局-和平桥-宣武市场南门-宣武市场-青年路口-文化宫 :{6:05-18:00}
6↑ 文化宫-市一院-北路口-空军学院-九龙湖公园-空军学院北-诚坤钢材市场-金色阳光小区-豪绅嘉苑-三新庄-工业技术学院东门-江山-李屯 :{6:30-18:00}
6↓ 李屯-江山-工业技术学院东门-三新庄-豪绅嘉苑-金色阳光小区-诚坤钢材市场-空军学院北-九龙湖公园-空军学院-北路口-市一院-文化宫 :{6:30-18:00}
7↑ 合洗厂-氯碱集团-北站货场-华隆家具城-淮东家具城-八里屯-江苏家具城-王场新村-轻工路口-电力医院-化机厂-堤北-爱牙医院(市三院)-民主路小学-中山堂-青年路小学(单)-彭城饭店 :{6:25-19:25}
7↓ 彭城饭店-青年路小学(单)-中山堂-民主路小学-爱牙医院(市三院)-堤北-化机厂-电力医院-轻工路口-王场新村-江苏家具城-八里屯-淮东家具城-华隆家具城-北站货场-氯碱集团-合洗厂 :{6:25-19:25}
8↑ 宣武市场-开明市场(上行)-袁桥(民主南路)-南郊宾馆-师大北门-体育场-云龙公园西门-电视塔-余窑-矿务局-段庄-市六院-飞虹网架-车管所-矿山路小学-建材厂-农校-卧牛矿-夹河养鸡场-骨肥厂-十八屯-霸王山水泥厂-大彭镇 :{6:15-19:00}
8↓ 大彭镇-霸王山水泥厂-十八屯-骨肥厂-夹河养鸡场-卧牛矿-农校-建材厂-矿山路小学-车管所-飞虹网架-市六院-段庄-矿务局-余窑-电视塔-云龙公园西门-体育场-师大北门-南郊宾馆-袁桥(民主南路)-开明市场(上行)-宣武市场 :{6:15-19:00}
