1路↑ 香洲-南坑-桃园新村-银桦新村-新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-招商花园城南-海纳石鸣苑-中山亭-瀚林苑-前山-银石雅园-兰埔-北岭-华侨宾馆-华润万家-拱北:{6:20-0:25}
1路↓ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-兰埔-圆明新园-银石雅园-前山-瀚林苑-中山亭-海纳石鸣苑-招商花园城南-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-桃园新村-南坑-香洲:{6:20-0:25}
观光01线↑ 石景山-九洲城-吉大-中电大厦-白莲洞公园-竹苑-兰圃-圆明新园-银石雅园-前山西门-明珠商业广场-翠景工业区-翠薇-明珠北-上涌村-公交花园-长沙-梅溪牌坊-农科奇观-东坑新村-东坑公园-绿知农庄-东坑市场-东坑-凤凰山-普陀寺:{06:45}
观光01线↓ 普陀寺-凤凰山-东坑-东坑市场-绿知农庄-东坑公园-东坑新村-农科奇观-梅溪牌坊-长沙-公交花园-上涌村-明珠北-翠薇-翠景工业区-明珠商业广场-前山西门-银石雅园-兰圃-竹苑-白莲洞公园-中电大厦-吉大-九洲城-石景山:{石景山06:45--19:00 凤凰山风景区06:50--20:00}
2路↑ 香洲-安平大厦-翠香中-邮政大厦-百货公司-湾仔沙-公积金中心-望海楼-海滨公园-九洲城-吉大-中电大厦-白莲洞公园-竹苑-北岭-华侨宾馆-华润万家-拱北:{6:15-0:35}
2路↓ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-竹苑-白莲洞公园-建业一路-中电大厦-吉大-九洲城-海滨公园-望海楼-公积金中心-湾仔沙-百货公司-邮政大厦-翠香中-安平大厦-香洲:{6:15-0:35}
观光02线 金鼎工业园-宝刚公司-收容教育所-168医院-金鼎医院-金鼎市场-下栅-官塘-国际赛车场-经济港-南方软件园-珍珠乐园-海怡湾畔-渔村-裕华公司-唐家市场-唐家-中山大学-鸡山-叠石-银坑-疗养院-美丽湾-契爷岭-华海路口-乐园路-香洲百货-名亭公园-海霞新村-海滨公园-珠海渔女-海滨泳场-海洲路口-九洲新村-洲仔-九洲港-九洲花园-情侣南路北-情侣南路中-情侣南路南-日华花园-拱北宾馆-口岸广场-华润万家-华侨宾馆-北岭-竹苑-白莲洞公园-建业一路-中电大厦-吉大-九洲城-石景山:{07:00}
3↑ 九洲港-石花东-珠海电台-交行大厦-吉大-九洲城-海滨公园-公积金中心-湾仔沙-百货公司-邮政大厦-凤凰北-华子石东-中大五院-水拥坑-契爷岭-美丽湾-疗养院-银坑-叠石-鸡山-中山大学-唐家-唐家市场-裕华公司-渔村-海怡湾畔-珍珠乐园-南方软件园-经济港-国际赛车场-官塘-下栅-金鼎市场-金鼎医院-一六八医院-景峰广场-收容教育所-宝刚公司-金鼎工业园 :{6:10-22:25}
3↓ 金鼎工业园-宝刚公司-收容教育所-景峰广场-一六八医院-金鼎医院-金鼎市场-下栅-官塘-国际赛车场-经济港-南方软件园-珍珠乐园-海怡湾畔-渔村-裕华公司-唐家市场-唐家-中山大学-鸡山-叠石-银坑-疗养院-美丽湾-契爷岭-水拥坑-中大五院-华子石东-凤凰北-邮政大厦-百货公司-湾仔沙-公积金中心-海滨公园-九洲城-吉大-交行大厦-珠海电台-洲仔-九洲港 :{九洲港6:10-22:25}
4↑ 凤凰北-华子石西-梅华东-紫荆园-香洲-南坑-桃园新村-滨海楼-二中-公积金中心-望海楼-海滨公园-光大国贸-海滨南-珠海电台-洲仔-九洲港-九洲花园-度假村-华景花园-南油大酒店-水湾头-海湾大酒店-银海新村-粤海东-银都-新市花园-拱北医院-粤华西-侨光小学-夏湾 :{6:15-21:50}
4↓ 夏湾-侨光小学-粤华西-拱北医院-新市花园-银都-粤海东-日华花园-情侣南路南-水湾头-南油大酒店-华景花园-度假村-九洲花园-九洲港-洲仔-珠海电台-海滨南-光大国贸-海滨公园-望海楼-公积金中心-二中-滨海楼-桃园新村-南坑-香洲-安平大厦-翠香中-凤凰北 :{凤凰北6:15-21:50}
5↑ 凤凰北-翠香中-安平大厦-香洲-南坑-桃园新村-银桦新村-新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-翠景工业区-莲塘-造贝-福石-中臣花园-南屏大桥-南屏-北山工业区-威尔科技园-竹仙洞-南山-湾仔中学-鸿景花园-湾仔海鲜街-湾仔旅游码头-湾仔 :{6:20-23:10}
5↓ 湾仔-鸿景花园-湾仔中学-南山-竹仙洞-威尔科技园-北山工业区-南屏-南屏大桥-中臣花园-福石-造贝-莲塘-翠景工业区-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-桃园新村-南坑-香洲-紫荆园-为农市场-凤凰北 :{凤凰北6:20-23:10}
