10路 燕泉路口-三完小路口-市劳动局-燕泉花园-武警支队-燕泉广场-汽车南站-交巡警支队-湘南地质队-五岭广场北-五岭广场西-云龙大酒店(501医院)-七星大市场-质安大厦-五岭大市场(百江燃气)-五岭文化市场-408队-光明眼科医院-天龙汽车站-明星学校-开发区工商局-十五中-郴资桂路口-工业园-安和乡-四清湖-顶上村:{}
11路 火车站-郴州电脑城-公安干校-新世纪市场-市郊乡政府-五交化液化气站-下湄桥加油站-瓷厂-第五医院-下湄桥-变电站-温泉路-毫里:{}
12路 天华商场-郴州影剧院-市中医院-罗家井西-郴电国际-南塔岭-香雪苑-香雪苑东苑-香雪桥-陆通驾校-龙门池-市特勤队-白鹿洞镇ZF-石榴湾大桥-孔家洞-爱莲湖-堆上-梨树山-耒宜高速管理处-四号桥-崔家洞-王仙岭加油站-王仙岭生态公园-山河水厂-预备役工兵团-上白水村-湘南学院-邓家-白露塘-柿竹园-东坡-大奎上:{天华→大奎上}
13路 火车站-军人招待所-市百纺站-金阳大酒店-汽车总站-天湖大酒店-金星宾馆-兴隆批发市场-同新农贸市场-望湖花园(同心房产)-质监站-自来水公司-体育训练基地-冶金局-郴州医专-公共汽车公司-消防支队-相思宾馆-交巡警二大队-明华医院-北湖区ZF-交通驾校-车辆检测中心-阳光苑-汽车南站-市规划局-东峻广场-香穗花园-华宁花园-香雪苑-香雪苑东苑-香雪桥-陆通驾校-龙门池-市特勤队-白鹿洞镇ZF-石榴湾大桥-孔家洞-爱莲湖-堆上-梨树山-耒宜高速管理处-四号桥-崔家洞-王仙岭加油站-王仙岭生态公园-山河水厂-预备役工兵团-上白水村-湘南学院:{}
14路 火车站-军人招待所-市百纺站-金阳大酒店-汽车总站-郴桂路口-北湖公园东门-市邮政局-郴州商场-北湖公园-国际大酒店-冶金局-郴州医专-公共汽车公司-消防支队-相思宾馆-交巡警二大队-明华医院-北湖区ZF-交通驾校-车辆检测中心-北湖区公安分局-南开制药厂-五岭广场西-云龙大酒店(501医院)-七星大市场-质安大厦-五岭大市场(百江燃气)-五岭文化市场-408队-光明眼科医院-天龙汽车站:{}
15路 市委党校-郴州日报社-市委-变电所-郴州师专-苏仙岭北-苏岭菜市场-市三中-城建开发公司-飞虹游园-青少年宫-丰豪大酒店-九洲家电城-市工商银行-锦湘百货-北湖公安分局-罗家井-三完小路口-市劳动局-燕泉花园-城管综合执法支队-骆仙路口-香雪路口-龙泉名都-北湖区党校-第一人民医院南院-7429工厂-明桂园-郴州移动公司-市政府-中国联通-七星大市场-涌泉小区-五岭大市场(融合园)-五岭大市场(盼盼幼儿园)-开发区管委会-市城管局-邮区中心局-天龙汽车站-开发区:{开发区-市党校}
16路↑ 北湖市场-金阳大酒店-汽车总站-郴桂路口-城市广场-第三人民医院-北湖区粮食局-丰豪大酒店-九洲家电城-市工商银行-锦湘百货-北湖公安分局-第一人民医院-市房产局:{}
16路↓ f6b36473-b38b828a-92b841fa-9b193afc-8bccbf33-5f1e8365-8d2c5494-9bc772df-b2526b17-48ca2215-bf010f2e-3fd3bf22-398ed0ad-62afdc84-8f00b204-cab9b4ce-981b22a4-818d771e-06fffab3-89c52a43-8768007d-fccaa20e:{北湖市场→郴州职业技术学院}
17路 火车站-军人招待所-市百纺站-金阳大酒店-汽车总站-天湖大酒店-金星宾馆-兴隆批发市场-同新农贸市场-望湖花园(同心房产)-质监站-自来水公司-体育训练基地-国际大酒店-北湖公园-郴州宾馆-人民电影院-市检察院-市公安局-统一合众市场-环卫处-苏仙地税局-政务服务中心-民政局-供销技校-精神病院:{}
18路 火车站-郴州电脑城-公安干校-新世纪市场-北湖市场-金阳大酒店-汽车总站-郴桂路口-北湖公园东门-市邮政局-郴州影剧院-市中医院-燕泉路口-三完小路口-市劳动局-燕泉花园-武警支队-燕泉广场-汽车南站-交巡警支队-湘南地质队-五岭广场北-五岭广场西-云龙大酒店(501医院)-七星大市场-质安大厦-五岭大市场(百江燃气)-五岭文化市场-408队-光明眼科医院-天龙汽车站-明星学校-开发区工商局-十五中-郴资桂路口-工业园-增湖村-张家坪-油山村:{}
19路↑ 市委党校-四普庄村委会-卜里坪-渔场新村-碳素厂-松脂厂-天通汽车站-公安干校-新世纪市场-北湖市场-金阳大酒店-汽车总站-郴桂路口-北湖公园东门-郴州宾馆-人民电影院-市检察院-市公安局-统一合众市场-苏仙桥菜市场-市一中-苏仙区委-第四人民医院-苏仙区法院-市三中-苏仙菜市场-苏仙岭北-郴州师专-变电所-市委-郴州日报社-市委党校:{}
19路↓ 市委党校-郴州日报社-市委-变电所-郴州师专-苏仙岭北-苏仙菜市场-市三中-苏仙区法院-第四人民医院-苏仙区委-市一中-苏仙桥菜市场-统一合众市场-市公安局-市检察院-人民电影院-市邮政局-北湖公园东门-郴桂路口-汽车总站-金阳大酒店-北湖市场-新世纪市场-公安干校-天通汽车站-松脂厂-碳素厂-渔场新村-卜里坪-四普庄村委会-市委党校:{}
21路 北湖市场-金阳大酒店-汽车总站-郴桂路口-北湖公园东门-市邮政局-郴州影剧院-罗家井-第一人民医院-市房产局-北街口-市六中-市公安局-统一合众市场-环卫处-苏仙地税局-政务服务中心-第二人民医院-第一职中-湘南技校-石榴湾大桥-劳教所-省四建-锁石路-王仙岭加油站-王仙岭:{}
31路 火车站-道口-飞虹桥-飞虹游园-城建开发公司-苏仙区法院-第四人民医院-苏仙区委-苏园桥西-江滨小区-龙船头房管所-市直幼儿园-一完小-统一合众市场-市公安局-市六中-北街口-北湖区法院-南塔市场-桐梓坪-郴电国际-南塔岭-华宁花园-香穗花园-龙泉名都-北湖区党校-第一人民医院南院-7429工厂-明桂园-郴州移动公司-五岭广场东-五岭广场西-云龙大酒店(501医院)-七星大市场-质安大厦-五岭大市场(百江燃气)-五岭文化市场-408队-光明眼科医院-粮油机械有限公司-立交桥-城前岭钢材市场:{}
2↑ 龙女温泉-麻纺厂-职业技术学院(北院)-司马洞-复烤厂-建材厂-变电站-下湄桥-第五医院-瓷厂-下湄桥加油站-五交化液化气站-市郊乡政府-北湖市场-金阳大酒店-市百纺站-军人招待所-火车站-道口-飞虹桥-青少年宫-丰豪大酒店-九州家电城-市工商银行-锦湘百货-北湖区公安分局-第一人民医院-市房产局--北湖区法院-南塔市场-桐梓坪-郴电国际-南塔岭-华宁花园-香穗花园-龙泉名都-北湖区党校-第一人民医院南院-7429工厂-明桂园-郴州移动公司-市政府-中国联通-七星大市场 :{}
2↓ 七星大市场-中国联通-市政府-明桂园-7429工厂-第一人民医院南院-北湖区党校-龙泉名都-香穗花园-华宁花园-南塔岭-郴电国际-桐梓坪-南塔市场-北湖区法院-市房产局-第一人民医院-罗家井-市中医院-郴州影剧院-市邮政局-北湖公园东门-郴桂路口-汽车总站-金阳大酒店-北湖市场-市郊乡政府-五交化液化气站-下湄桥加油站-瓷厂-第五医院-下湄桥-变电站-建材厂-复烤厂-司马洞-职业技术学院(北院)-麻纺厂-龙女温泉 :{}
3↑ 市林业局-市环保局-香雪桥东-香雪苑东苑-香雪苑-南塔岭-郴电国际-罗家井西-罗家井-文绣楼-北湖公安分局-锦湘百货-市工商银行-九州家电城-丰豪大酒店-青少年宫-飞虹桥-道口-火车站-军人招待所-市百纺站-金阳大酒店-北湖市场-市郊乡政府-五交化液化气站-下湄桥加油站-瓷厂-第五医院-下湄桥-变电站-建材厂-复烤厂-司马洞-职业技术学院(北院)-麻纺厂-龙女温泉-下湄桥收费站-造纸厂 :{}
3↓ 造纸厂-下湄桥收费站-龙女温泉-麻纺厂-职业技术学院(北院)-司马洞-复烤厂-建材厂-变电站-下湄桥-第五医院-瓷厂-下湄桥加油站-五交化液化气站-市郊乡政府-北湖市场-金阳大酒店-汽车总站-郴桂路口-北湖公园东门-市邮政局-郴州影剧院-市中医院-罗家井西-郴电国际-南塔岭-香雪苑-香雪苑东苑-香雪桥东-市环保局-市林业局 :{}
4↑ 郴电国际-许家洞-郴电国际-罗家井西-市中医院-郴州影剧院-市邮政局-北湖公园东门-郴桂路口-汽车总站-金阳大酒店-北湖市场-市郊乡政府-五交化液化气站-下湄桥加油站-瓷厂-第五医院-下湄桥-变电站-建材厂-复烤厂-司马洞-职业技术学院(北院)-麻纺厂-龙女温泉-下湄桥收费站-造纸厂-良家湾-陈家楼-许家洞 :{}
4↓ 许家洞-陈家楼-良家湾-造纸厂-下湄桥收费站-龙女温泉-麻纺厂-职业技术学院(北院)-司马洞-复烤厂-建材厂-变电站-下湄桥-第五医院-瓷厂-下湄桥加油站-五交化液化气站-市郊乡政府-北湖市场-金阳大酒店-汽车总站-郴桂路口-北湖公园东门-市邮政局-郴州影剧院-市中医院-罗家井西-郴电国际-许家洞-郴电国际 :{}
5↑ 煤气大楼-国庆南路-燕泉路口-罗家井市场-长富利超市-步步高超市-市中医院-郴州影剧院-麦当劳-天华大厦-国庆北路-家润多超市-马家坪市场-汽车总站-郴桂路-同心桥-省道-骆仙铺 :{}
5↓ 骆仙铺-省道-同心桥-郴桂路-汽车总站-马家坪市场-家润多超市-国庆北路-天华大厦-麦当劳-郴州影剧院-市中医院-步步高超市-长富利超市-罗家井市场-燕泉路口-国庆南路-煤气大楼 :{}
6↑ 燕泉路口-长冲-燕泉路口-三完小路口-市劳动局-燕泉花园-武警支队-燕泉广场-汽车南站-交巡警支队-湘南地质队-五岭广场北-五岭广场西-云龙大酒店(501医院)-七星大市场-质安大厦-五岭大市场(百江燃气)-五岭文化市场-408队-光明眼科医院-粮油机械有限公司-立交桥-城前岭钢材市场-长冲 :{}
6↓ 长冲-城前岭钢材市场-立交桥-粮油机械有限公司-光明眼科医院-408队-五岭文化市场-五岭大市场(百江燃气)-质安大厦-七星大市场-云龙大酒店(501医院)-五岭广场西-五岭广场北-湘南地质队-交巡警支队-汽车南站-燕泉广场-武警支队-燕泉花园-市劳动局-三完小路口-燕泉路口-长冲-燕泉路口 :{}
7↑ 燕泉路口-江源桥-燕泉路口-三完小路口-市劳动局-燕泉花园-武警支队-燕泉广场-汽车南站-交巡警支队-湘南地质队-五岭广场北-五岭广场西-云龙大酒店(501医院)-七星大市场-质安大厦-五岭大市场(百江燃气)-五岭文化市场-408队-光明眼科医院-粮油机械有限公司-立交桥-城前岭钢材市场-长冲-石盖塘-小溪-大溪-江源桥 :{}
7↓ 江源桥-大溪-小溪-石盖塘-长冲-城前岭钢材市场-立交桥-粮油机械有限公司-光明眼科医院-408队-五岭文化市场-五岭大市场(百江燃气)-质安大厦-七星大市场-云龙大酒店(501医院)-五岭广场西-五岭广场北-湘南地质队-交巡警支队-汽车南站-燕泉广场-武警支队-燕泉花园-市劳动局-三完小路口-燕泉路口-江源桥-燕泉路口 :{}
8↑ 振兴桥-国庆南路-麦当劳-郴州影剧院-市中医院-供销大厦-罗家井市场-郴电国际-今日兴城-香雪桥-香雪路-环城南路-郴州大道-资郴桂高等级公路-302-414-槐树下 :{}
8↓ 槐树下-414-302-资郴桂高等级公路-郴州大道-环城南路-香雪路-香雪桥-今日兴城-郴电国际-罗家井市场-供销大厦-市中医院-郴州影剧院-麦当劳-国庆南路-振兴桥 :{}
9↑ 燕泉路口-三完小路口-市劳动局-燕泉花园-武警支队-燕泉广场-汽车南站-交巡警支队-湘南地质队-五岭广场北-五岭广场西-云龙大酒店(501医院)-七星大市场-质安大厦-五岭大市场(百江燃气)-五岭文化市场-408队-光明眼科医院-天龙汽车站-明星学校-开发区工商局-十五中-郴资桂路口-工业园-安和乡-万华岩 :{}
